id_product;id_shop;name;meta_description;meta_keywords;meta_title;
"16";"16";"Световое фейерверк-шоу "Волшебный фонарь"";"У нас Вы можете купить Прочее Световое фейерверк-шоу "Волшебный фонарь" 2170 ОПТОМ по самым низким ценам!";"";"Прочее Световое фейерверк-шоу "Волшебный фонарь" 2170 ОПТОМ";
"17";"16";"Световая бенгальская свеча "Звёздная пыль"";"У нас Вы можете купить Прочее Световая бенгальская свеча "Звёздная пыль" 2402 ОПТОМ по самым низким ценам!";"";"Прочее Световая бенгальская свеча "Звёздная пыль" 2402 ОПТОМ";
"18";"16";"Светящаяся ракета "Дракон"";"У нас Вы можете купить Прочее Светящаяся ракета "Дракон" 2406 ОПТОМ по самым низким ценам!";"";"Прочее Светящаяся ракета "Дракон" 2406 ОПТОМ";
"19";"16";"Помповый бластер "Римская свеча"";"У нас Вы можете купить Прочее Помповый бластер "Римская свеча" 2408 ОПТОМ по самым низким ценам!";"";"Прочее Помповый бластер "Римская свеча" 2408 ОПТОМ";
"20";"16";"Светящаяся ракета "Молния"";"У нас Вы можете купить Прочее Светящаяся ракета "Молния" 2410 ОПТОМ по самым низким ценам!";"";"Прочее Светящаяся ракета "Молния" 2410 ОПТОМ";
"21";"16";"Световой фейерверк - шоу "Весёлая карусель"";"У нас Вы можете купить Прочее Световой фейерверк - шоу "Весёлая карусель" 2412 ОПТОМ по самым низким ценам!";"";"Прочее Световой фейерверк - шоу "Весёлая карусель" 2412 ОПТОМ";
"22";"16";"Свистящие шары "Весёлый проныра"";"У нас Вы можете купить Прочее Свистящие шары "Весёлый проныра" 2415 ОПТОМ по самым низким ценам!";"";"Прочее Свистящие шары "Весёлый проныра" 2415 ОПТОМ";
"24";"16";"Шоу конусных фонтанов "Огненная фантазия"";"У нас Вы можете купить Прочее Шоу конусных фонтанов "Огненная фантазия" 2451 ОПТОМ по самым низким ценам!";"";"Прочее Шоу конусных фонтанов "Огненная фантазия" 2451 ОПТОМ";
"70";"16";"Зимняя сказка (1,0" х 48)";"У нас Вы можете купить Батареи салютов Зимняя сказка (1,0" х 48) DF701010048 ОПТОМ по самым низким ценам!";"";"Батареи салютов Зимняя сказка (1,0" х 48) DF701010048 ОПТОМ";
"71";"16";"Праздник жизни (1,2" х 20)";"У нас Вы можете купить Батареи салютов Праздник жизни (1,2" х 20) DF701012020 ОПТОМ по самым низким ценам!";"";"Батареи салютов Праздник жизни (1,2" х 20) DF701012020 ОПТОМ";
"72";"16";"Свадебный салют (1,2" х 100)";"У нас Вы можете купить Батареи салютов Свадебный салют (1,2" х 100) DF701012100 ОПТОМ по самым низким ценам!";"";"Батареи салютов Свадебный салют (1,2" х 100) DF701012100 ОПТОМ";
"73";"16";"С Новым Годом! (1,5" х 25)";"У нас Вы можете купить Батареи салютов С Новым Годом! (1,5" х 25) DF701015025 ОПТОМ по самым низким ценам!";"";"Батареи салютов С Новым Годом! (1,5" х 25) DF701015025 ОПТОМ";
"78";"16";"Совет да любовь (1,5" х 50)";"У нас Вы можете купить Батареи салютов Совет да любовь (1,5" х 50) DF702015050 ОПТОМ по самым низким ценам!";"";"Батареи салютов Совет да любовь (1,5" х 50) DF702015050 ОПТОМ";
"92";"16";"Matabrujas (уп.  5 шт.) ФИТИЛЬНЫЕ";"У нас Вы можете купить Петарды Matabrujas (уп.  5 шт.) ФИТИЛЬНЫЕ F11049 ОПТОМ по самым низким ценам!";"";"Петарды Matabrujas (уп.  5 шт.) ФИТИЛЬНЫЕ F11049 ОПТОМ";
"111";"16";"Ахтунг (уп. 100 шт.) ТЕРОЧНЫЕ";"У нас Вы можете купить Петарды Ахтунг (уп. 100 шт.) ТЕРОЧНЫЕ K00203 ОПТОМ по самым низким ценам!";"";"Петарды Ахтунг (уп. 100 шт.) ТЕРОЧНЫЕ K00203 ОПТОМ";
"115";"16";"Ахтунг (уп. 12 шт.) ТЕРОЧНЫЕ";"У нас Вы можете купить Петарды Ахтунг (уп. 12 шт.) ТЕРОЧНЫЕ K00204 ОПТОМ по самым низким ценам!";"";"Петарды Ахтунг (уп. 12 шт.) ТЕРОЧНЫЕ K00204 ОПТОМ";
"116";"16";"Ахтунг (уп. 3 шт.) ТЕРОЧНЫЕ";"У нас Вы можете купить Петарды Ахтунг (уп. 3 шт.) ТЕРОЧНЫЕ K00208 ОПТОМ по самым низким ценам!";"";"Петарды Ахтунг (уп. 3 шт.) ТЕРОЧНЫЕ K00208 ОПТОМ";
"119";"16";"К0202Петарды (1уп-20шт.) ТЕРОЧНЫЕ";"У нас Вы можете купить К0202Петарды (1уп-20шт.) ТЕРОЧНЫЕ K0202-1 ОПТОМ по самым низким ценам!";"";"К0202Петарды (1уп-20шт.) ТЕРОЧНЫЕ K0202-1 ОПТОМ";
"120";"16";"К0202Петарды (1уп-20шт.) ФИТИЛЬНЫЕ";"У нас Вы можете купить К0202Петарды (1уп-20шт.) ФИТИЛЬНЫЕ K0202-2 ОПТОМ по самым низким ценам!";"";"К0202Петарды (1уп-20шт.) ФИТИЛЬНЫЕ K0202-2 ОПТОМ";
"121";"16";"Петарды (1уп-12шт.) ФИТИЛЬНЫЕ";"У нас Вы можете купить Петарды (1уп-12шт.) ФИТИЛЬНЫЕ K0204CE ОПТОМ по самым низким ценам!";"";"Петарды (1уп-12шт.) ФИТИЛЬНЫЕ K0204CE ОПТОМ";
"122";"16";"Ракеты свистульки";"У нас Вы можете купить Ракеты свистульки R0445 ОПТОМ по самым низким ценам!";"";"Ракеты свистульки R0445 ОПТОМ";
"123";"16";"Миномёт (12 шаров)";"У нас Вы можете купить Фестивальные шары Миномёт (12 шаров) R09012 ОПТОМ по самым низким ценам!";"";"Фестивальные шары Миномёт (12 шаров) R09012 ОПТОМ";
"127";"16";"Crazy robot     (уп. 12 шт.) ФИТИЛЬНЫЕ";"У нас Вы можете купить Петарды Crazy robot     (уп. 12 шт.) ФИТИЛЬНЫЕ S01002 ОПТОМ по самым низким ценам!";"";"Петарды Crazy robot     (уп. 12 шт.) ФИТИЛЬНЫЕ S01002 ОПТОМ";
"130";"16";"Фонтан тортовый 12 см";"У нас Вы можете купить Фонтан тортовый 12 см TKF358 ОПТОМ по самым низким ценам!";"";"Фонтан тортовый 12 см TKF358 ОПТОМ";
"131";"16";"Фонтан тортовый 10 см";"У нас Вы можете купить Фонтан тортовый 10 см TKF361 ОПТОМ по самым низким ценам!";"";"Фонтан тортовый 10 см TKF361 ОПТОМ";
"133";"16";"TOURBILLON, 39 сек (1.20" x 25)";"У нас Вы можете купить Батареи салютов TOURBILLON, 39 сек (1.20" x 25) TXB021 ОПТОМ по самым низким ценам!";"";"Батареи салютов TOURBILLON, 39 сек (1.20" x 25) TXB021 ОПТОМ";
"134";"16";"FRANKEE  + FONTANNA, 60 сек (1.20" x 37)";"У нас Вы можете купить Батареи салютов FRANKEE  + FONTANNA, 60 сек (1.20" x 37) TXB022 ОПТОМ по самым низким ценам!";"";"Батареи салютов FRANKEE  + FONTANNA, 60 сек (1.20" x 37) TXB022 ОПТОМ";
"135";"16";"GOLDEN WATERFALL, 26сек (1.00" x 16)";"У нас Вы можете купить Батареи салютов GOLDEN WATERFALL, 26сек (1.00" x 16) TXB038 ОПТОМ по самым низким ценам!";"";"Батареи салютов GOLDEN WATERFALL, 26сек (1.00" x 16) TXB038 ОПТОМ";
"136";"16";"ENDURO 25S 1.2", 35 сек (1.20" x 25)";"У нас Вы можете купить Батареи салютов ENDURO 25S 1.2", 35 сек (1.20" x 25) TXB039 ОПТОМ по самым низким ценам!";"";"Батареи салютов ENDURO 25S 1.2", 35 сек (1.20" x 25) TXB039 ОПТОМ";
"138";"16";"SANSATION , 27 сек (0.80" x 25)";"У нас Вы можете купить Батареи салютов SANSATION , 27 сек (0.80" x 25) TXB045 ОПТОМ по самым низким ценам!";"";"Батареи салютов SANSATION , 27 сек (0.80" x 25) TXB045 ОПТОМ";
"140";"16";"PLUS+ , 16 сек (0.80" x 16)";"У нас Вы можете купить Батареи салютов PLUS+ , 16 сек (0.80" x 16) TXB070 ОПТОМ по самым низким ценам!";"";"Батареи салютов PLUS+ , 16 сек (0.80" x 16) TXB070 ОПТОМ";
"141";"16";"DARK AGE ,20 сек (0.80" x 16)";"У нас Вы можете купить Батареи салютов DARK AGE ,20 сек (0.80" x 16) TXB071 ОПТОМ по самым низким ценам!";"";"Батареи салютов DARK AGE ,20 сек (0.80" x 16) TXB071 ОПТОМ";
"142";"16";"Champion , 23 сек (1.00" x 36)";"У нас Вы можете купить Батареи салютов Champion , 23 сек (1.00" x 36) TXB073 ОПТОМ по самым низким ценам!";"";"Батареи салютов Champion , 23 сек (1.00" x 36) TXB073 ОПТОМ";
"146";"16";"ROYAL, 50 сек (1.20" x 25)";"У нас Вы можете купить Батареи салютов ROYAL, 50 сек (1.20" x 25) TXB093 ОПТОМ по самым низким ценам!";"";"Батареи салютов ROYAL, 50 сек (1.20" x 25) TXB093 ОПТОМ";
"148";"16";"КАТЮША (50 выстрелов) (0.30" x 50)";"У нас Вы можете купить Батареи салютов КАТЮША (50 выстрелов) (0.30" x 50) TXB132 ОПТОМ по самым низким ценам!";"";"Батареи салютов КАТЮША (50 выстрелов) (0.30" x 50) TXB132 ОПТОМ";
"149";"16";"КАТЮША (100 выстрелов) (0.30" x 100)";"У нас Вы можете купить Батареи салютов КАТЮША (100 выстрелов) (0.30" x 100) TXB133 ОПТОМ по самым низким ценам!";"";"Батареи салютов КАТЮША (100 выстрелов) (0.30" x 100) TXB133 ОПТОМ";
"150";"16";"TREE COLOURS, 20 сек (1.00" x 16)";"У нас Вы можете купить Батареи салютов TREE COLOURS, 20 сек (1.00" x 16) TXB171 ОПТОМ по самым низким ценам!";"";"Батареи салютов TREE COLOURS, 20 сек (1.00" x 16) TXB171 ОПТОМ";
"151";"16";"COCO, 38 сек (1.00" x 25)";"У нас Вы можете купить Батареи салютов COCO, 38 сек (1.00" x 25) TXB172 ОПТОМ по самым низким ценам!";"";"Батареи салютов COCO, 38 сек (1.00" x 25) TXB172 ОПТОМ";
"152";"16";"NIGHT AURA , 34 сек (1.00" x 25)";"У нас Вы можете купить Батареи салютов NIGHT AURA , 34 сек (1.00" x 25) TXB173 ОПТОМ по самым низким ценам!";"";"Батареи салютов NIGHT AURA , 34 сек (1.00" x 25) TXB173 ОПТОМ";
"153";"16";"LILY MAGNOLIA, 20 сек (1.00" x 16)";"У нас Вы можете купить Батареи салютов LILY MAGNOLIA, 20 сек (1.00" x 16) TXB174 ОПТОМ по самым низким ценам!";"";"Батареи салютов LILY MAGNOLIA, 20 сек (1.00" x 16) TXB174 ОПТОМ";
